1.35E+12,paycode,itemNo,stimNo,verb,sentence,trialVersion,prepSentence,exposePicture,actionPicture,word1,word2,mistakeFlag,responseTime,word1.clean,word2.clean
1.35E+12,a334b59866a56,0,6,WASH,The duck washes the bowl.,agent,"In the next scene, there is a monkey, a duck and a bowl.",http://tedlab.mit.edu/~mekline/SDPictures/WASH-agent-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/WASH-agent-action.jpg,duck,washes,none,17.995,duck,wash
1.35E+12,aea8e230bj18,2,1,DRINK,The grandma drinks juice.,patient,"In the next scene, there is some milk, a grandma and some juice.",http://tedlab.mit.edu/~mekline/SDPictures/DRINK-patient-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/DRINK-patient-action.jpg,drink,juice,none,13.4,drink,juice
1.35E+12,aea8e230bj18,4,2,EAT,The monkey eats the orange.,agent,"In the next scene, there is a duck, a monkey and an orange.",http://tedlab.mit.edu/~mekline/SDPictures/EAT-agent-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/EAT-agent-action.jpg,monkey,eat,none,15.943,monkey,eat
1.35E+12,aea8e230bj18,1,3,FEED,The girl feeds the dog.,agent,"In the next scene, there is a boy, a girl and a dog.",http://tedlab.mit.edu/~mekline/SDPictures/FEED-agent-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/FEED-agent-action.jpg,feed,dog,none,12.732,feed,dog
1.35E+12,aea8e230bj18,3,4,READ,The boy reads the book.,patient,"In the next scene, there is a newspaper, a boy and a book.",http://tedlab.mit.edu/~mekline/SDPictures/READ-patient-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/READ-patient-action.jpg,read,book,none,10.224,read,book
1.35E+12,aea8e230bj18,0,5,ROLL,The baby rolls the ball.,agent,"In the next scene, there is a grandma, a baby and a ball.",http://tedlab.mit.edu/~mekline/SDPictures/ROLL-agent-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/ROLL-agent-action.jpg,roll,ball,none,24.811,roll,ball
1.35E+12,aea8e230bj18,5,6,WASH,The duck washes the bowl.,patient,"In the next scene, there is a spoon, a duck and a bowl.",http://tedlab.mit.edu/~mekline/SDPictures/WASH-patient-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/WASH-patient-action.jpg,wash,bowl,none,11.589,wash,bowl
1.35E+12,b10ed12b62h28,5,1,DRINK,The grandma drinks juice.,agent,"In the next scene, there is a baby, a grandma and some juice.",http://tedlab.mit.edu/~mekline/SDPictures/DRINK-agent-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/DRINK-agent-action.jpg,grandma,drank,none,12.605,grandma,drink
1.35E+12,b10ed12b62h28,4,2,EAT,The monkey eats the orange.,patient,"In the next scene, there is a banana, a monkey and an orange.",http://tedlab.mit.edu/~mekline/SDPictures/EAT-patient-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/EAT-patient-action.jpg,ate,orange,none,11.575,eat,orange
1.35E+12,b10ed12b62h28,2,3,FEED,The girl feeds the dog.,patient,"In the next scene, there is a kitten, a girl and a dog.",http://tedlab.mit.edu/~mekline/SDPictures/FEED-patient-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/FEED-patient-action.jpg,feeds,dog,none,15.132,feed,dog
1.35E+12,b10ed12b62h28,0,4,READ,The boy reads the book.,agent,"In the next scene, there is a girl, a boy and a book.",http://tedlab.mit.edu/~mekline/SDPictures/READ-agent-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/READ-agent-action.jpg,drops,book,none,23.587,drop,book
1.35E+12,b10ed12b62h28,1,5,ROLL,The baby rolls the ball.,patient,"In the next scene, there is a tire, a baby and a ball.",http://tedlab.mit.edu/~mekline/SDPictures/ROLL-patient-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/ROLL-patient-action.jpg,rolls,ball,none,11.498,roll,ball
1.35E+12,b10ed12b62h28,3,6,WASH,The duck washes the bowl.,agent,"In the next scene, there is a monkey, a duck and a bowl.",http://tedlab.mit.edu/~mekline/SDPictures/WASH-agent-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/WASH-agent-action.jpg,washes,bowl,none,13.681,wash,bowl
1.35E+12,b2065e8acaf27,0,1,DRINK,The grandma drinks juice.,patient,"In the next scene, there is some milk, a grandma and some juice.",http://tedlab.mit.edu/~mekline/SDPictures/DRINK-patient-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/DRINK-patient-action.jpg,drank,juice,none,10.136,drink,juice
1.35E+12,b2065e8acaf27,2,2,EAT,The monkey eats the orange.,patient,"In the next scene, there is a banana, a monkey and an orange.",http://tedlab.mit.edu/~mekline/SDPictures/EAT-patient-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/EAT-patient-action.jpg,eats,orange,none,7.211,eat,orange
1.35E+12,b2065e8acaf27,1,3,FEED,The girl feeds the dog.,patient,"In the next scene, there is a kitten, a girl and a dog.",http://tedlab.mit.edu/~mekline/SDPictures/FEED-patient-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/FEED-patient-action.jpg,fed,dog,none,11.614,feed,dog
1.35E+12,b2065e8acaf27,4,4,READ,The boy reads the book.,agent,"In the next scene, there is a girl, a boy and a book.",http://tedlab.mit.edu/~mekline/SDPictures/READ-agent-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/READ-agent-action.jpg,boy,reads,none,6.381,boy,read
1.35E+12,b2065e8acaf27,3,5,ROLL,The baby rolls the ball.,agent,"In the next scene, there is a grandma, a baby and a ball.",http://tedlab.mit.edu/~mekline/SDPictures/ROLL-agent-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/ROLL-agent-action.jpg,rolls,ball,none,8.919,roll,ball
1.35E+12,b2065e8acaf27,5,6,WASH,The duck washes the bowl.,agent,"In the next scene, there is a monkey, a duck and a bowl.",http://tedlab.mit.edu/~mekline/SDPictures/WASH-agent-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/WASH-agent-action.jpg,duck,washes,none,8.311,duck,wash
1.35E+12,b2c7a21a45f9,2,1,DRINK,The grandma drinks juice.,agent,"In the next scene, there is a baby, a grandma and some juice.",http://tedlab.mit.edu/~mekline/SDPictures/DRINK-agent-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/DRINK-agent-action.jpg,grandma,drinks,none,8.573,grandma,drink
1.35E+12,b2c7a21a45f9,5,2,EAT,The monkey eats the orange.,patient,"In the next scene, there is a banana, a monkey and an orange.",http://tedlab.mit.edu/~mekline/SDPictures/EAT-patient-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/EAT-patient-action.jpg,eats,orange,none,5.865,eat,orange
1.35E+12,b2c7a21a45f9,3,3,FEED,The girl feeds the dog.,patient,"In the next scene, there is a kitten, a girl and a dog.",http://tedlab.mit.edu/~mekline/SDPictures/FEED-patient-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/FEED-patient-action.jpg,dog,fed,none,5.993,dog,feed
1.35E+12,b2c7a21a45f9,4,4,READ,The boy reads the book.,patient,"In the next scene, there is a newspaper, a boy and a book.",http://tedlab.mit.edu/~mekline/SDPictures/READ-patient-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/READ-patient-action.jpg,reads,book,none,6.783,read,book
1.35E+12,b2c7a21a45f9,1,5,ROLL,The baby rolls the ball.,agent,"In the next scene, there is a grandma, a baby and a ball.",http://tedlab.mit.edu/~mekline/SDPictures/ROLL-agent-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/ROLL-agent-action.jpg,ball,rolled,none,9.286,ball,roll
1.35E+12,b2c7a21a45f9,0,6,WASH,The duck washes the bowl.,agent,"In the next scene, there is a monkey, a duck and a bowl.",http://tedlab.mit.edu/~mekline/SDPictures/WASH-agent-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/WASH-agent-action.jpg,bowl,washed,none,10.902,bowl,wash
1.35E+12,b2dcf2cb38h40,2,1,DRINK,The grandma drinks juice.,agent,"In the next scene, there is a baby, a grandma and some juice.",http://tedlab.mit.edu/~mekline/SDPictures/DRINK-agent-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/DRINK-agent-action.jpg,grandma,drinks,none,9.178,grandma,drink
1.35E+12,b2dcf2cb38h40,1,2,EAT,The monkey eats the orange.,patient,"In the next scene, there is a banana, a monkey and an orange.",http://tedlab.mit.edu/~mekline/SDPictures/EAT-patient-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/EAT-patient-action.jpg,orange,eaten,none,6.845,orange,eat
1.35E+12,b2dcf2cb38h40,3,3,FEED,The girl feeds the dog.,patient,"In the next scene, there is a kitten, a girl and a dog.",http://tedlab.mit.edu/~mekline/SDPictures/FEED-patient-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/FEED-patient-action.jpg,dog,fed,none,7.366,dog,feed
1.35E+12,b2dcf2cb38h40,5,4,READ,The boy reads the book.,patient,"In the next scene, there is a newspaper, a boy and a book.",http://tedlab.mit.edu/~mekline/SDPictures/READ-patient-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/READ-patient-action.jpg,book,read,none,6.151,book,read
1.35E+12,b2dcf2cb38h40,0,5,ROLL,The baby rolls the ball.,agent,"In the next scene, there is a grandma, a baby and a ball.",http://tedlab.mit.edu/~mekline/SDPictures/ROLL-agent-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/ROLL-agent-action.jpg,ball,rolled,none,14.299,ball,roll
1.35E+12,b2dcf2cb38h40,4,6,WASH,The duck washes the bowl.,agent,"In the next scene, there is a monkey, a duck and a bowl.",http://tedlab.mit.edu/~mekline/SDPictures/WASH-agent-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/WASH-agent-action.jpg,bowl,washed,none,6.075,bowl,wash
1.35E+12,b3496c8557d32,2,1,DRINK,The grandma drinks juice.,agent,"In the next scene, there is a baby, a grandma and some juice.",http://tedlab.mit.edu/~mekline/SDPictures/DRINK-agent-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/DRINK-agent-action.jpg,baby,smiles,none,17.99,baby,smiles
1.35E+12,b3496c8557d32,3,2,EAT,The monkey eats the orange.,patient,"In the next scene, there is a banana, a monkey and an orange.",http://tedlab.mit.edu/~mekline/SDPictures/EAT-patient-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/EAT-patient-action.jpg,monkey,hungry,none,7.879,monkey,hungry
1.35E+12,b3496c8557d32,0,3,FEED,The girl feeds the dog.,agent,"In the next scene, there is a boy, a girl and a dog.",http://tedlab.mit.edu/~mekline/SDPictures/FEED-agent-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/FEED-agent-action.jpg,dog,eats,bad input,58.298,dog,eat
1.35E+12,b3496c8557d32,4,4,READ,The boy reads the book.,patient,"In the next scene, there is a newspaper, a boy and a book.",http://tedlab.mit.edu/~mekline/SDPictures/READ-patient-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/READ-patient-action.jpg,yellow,book,bad input,22.419,yellow,book
1.35E+12,b3496c8557d32,5,5,ROLL,The baby rolls the ball.,patient,"In the next scene, there is a tire, a baby and a ball.",http://tedlab.mit.edu/~mekline/SDPictures/ROLL-patient-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/ROLL-patient-action.jpg,ball,sits,none,8.161,ball,sit
1.35E+12,b3496c8557d32,1,6,WASH,The duck washes the bowl.,agent,"In the next scene, there is a monkey, a duck and a bowl.",http://tedlab.mit.edu/~mekline/SDPictures/WASH-agent-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/WASH-agent-action.jpg,duck,sees,none,32.496,duck,see
1.35E+12,b3c981c83aa44,2,1,DRINK,The grandma drinks juice.,agent,"In the next scene, there is a baby, a grandma and some juice.",http://tedlab.mit.edu/~mekline/SDPictures/DRINK-agent-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/DRINK-agent-action.jpg,grandma,feeds,none,21.51,grandma,feeds
1.35E+12,b3c981c83aa44,5,2,EAT,The monkey eats the orange.,agent,"In the next scene, there is a duck, a monkey and an orange.",http://tedlab.mit.edu/~mekline/SDPictures/EAT-agent-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/EAT-agent-action.jpg,monkey,hungry,none,17.63,monkey,hungry
1.35E+12,b3c981c83aa44,0,3,FEED,The girl feeds the dog.,agent,"In the next scene, there is a boy, a girl and a dog.",http://tedlab.mit.edu/~mekline/SDPictures/FEED-agent-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/FEED-agent-action.jpg,dog,greeting,none,37.2,dog,greeting
1.35E+12,b3c981c83aa44,3,4,READ,The boy reads the book.,patient,"In the next scene, there is a newspaper, a boy and a book.",http://tedlab.mit.edu/~mekline/SDPictures/READ-patient-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/READ-patient-action.jpg,boy,curious,none,25.496,boy,curious
1.35E+12,b3c981c83aa44,1,5,ROLL,The baby rolls the ball.,patient,"In the next scene, there is a tire, a baby and a ball.",http://tedlab.mit.edu/~mekline/SDPictures/ROLL-patient-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/ROLL-patient-action.jpg,ball,play,none,23.978,ball,play
1.35E+12,b3c981c83aa44,4,6,WASH,The duck washes the bowl.,patient,"In the next scene, there is a spoon, a duck and a bowl.",http://tedlab.mit.edu/~mekline/SDPictures/WASH-patient-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/WASH-patient-action.jpg,bowl,dirty,none,22.68,bowl,dirty
1.35E+12,bd80dfacfa1,4,1,DRINK,The grandma drinks juice.,agent,"In the next scene, there is a baby, a grandma and some juice.",http://tedlab.mit.edu/~mekline/SDPictures/DRINK-agent-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/DRINK-agent-action.jpg,grandma,drinks,none,6.395,grandma,drinks
1.35E+12,bd80dfacfa1,5,2,EAT,The monkey eats the orange.,agent,"In the next scene, there is a duck, a monkey and an orange.",http://tedlab.mit.edu/~mekline/SDPictures/EAT-agent-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/EAT-agent-action.jpg,monkey,eats,none,4.385,monkey,eat
1.35E+12,bd80dfacfa1,2,3,FEED,The girl feeds the dog.,patient,"In the next scene, there is a kitten, a girl and a dog.",http://tedlab.mit.edu/~mekline/SDPictures/FEED-patient-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/FEED-patient-action.jpg,feeds,dog,none,6.939,feed,dog
1.35E+12,bd80dfacfa1,1,4,READ,The boy reads the book.,agent,"In the next scene, there is a girl, a boy and a book.",http://tedlab.mit.edu/~mekline/SDPictures/READ-agent-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/READ-agent-action.jpg,reads,book,none,5.547,read,book
1.35E+12,bd80dfacfa1,3,5,ROLL,The baby rolls the ball.,patient,"In the next scene, there is a tire, a baby and a ball.",http://tedlab.mit.edu/~mekline/SDPictures/ROLL-patient-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/ROLL-patient-action.jpg,rolls,ball,none,4.071,roll,ball
1.35E+12,bd80dfacfa1,0,6,WASH,The duck washes the bowl.,patient,"In the next scene, there is a spoon, a duck and a bowl.",http://tedlab.mit.edu/~mekline/SDPictures/WASH-patient-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/WASH-patient-action.jpg,wash,bowl,none,8.134,wash,bowl
1.35E+12,c23025a7aad26,5,1,DRINK,The grandma drinks juice.,agent,"In the next scene, there is a baby, a grandma and some juice.",http://tedlab.mit.edu/~mekline/SDPictures/DRINK-agent-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/DRINK-agent-action.jpg,grandma,drinks,none,7.29,grandma,drink
1.35E+12,c23025a7aad26,4,2,EAT,The monkey eats the orange.,patient,"In the next scene, there is a banana, a monkey and an orange.",http://tedlab.mit.edu/~mekline/SDPictures/EAT-patient-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/EAT-patient-action.jpg,eats,orange,none,7.152,eat,orange
1.35E+12,c23025a7aad26,3,3,FEED,The girl feeds the dog.,agent,"In the next scene, there is a boy, a girl and a dog.",http://tedlab.mit.edu/~mekline/SDPictures/FEED-agent-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/FEED-agent-action.jpg,feeds,dog,none,7.627,feed,dog
1.35E+12,c23025a7aad26,2,4,READ,The boy reads the book.,patient,"In the next scene, there is a newspaper, a boy and a book.",http://tedlab.mit.edu/~mekline/SDPictures/READ-patient-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/READ-patient-action.jpg,reads,book,none,7.382,read,book
1.35E+12,c23025a7aad26,0,5,ROLL,The baby rolls the ball.,patient,"In the next scene, there is a tire, a baby and a ball.",http://tedlab.mit.edu/~mekline/SDPictures/ROLL-patient-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/ROLL-patient-action.jpg,roll,ball,none,13.25,roll,ball
1.35E+12,c23025a7aad26,1,6,WASH,The duck washes the bowl.,agent,"In the next scene, there is a monkey, a duck and a bowl.",http://tedlab.mit.edu/~mekline/SDPictures/WASH-agent-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/WASH-agent-action.jpg,washes,bowl,none,9.16,wash,bowl
1.35E+12,cc288322ae43,5,1,DRINK,The grandma drinks juice.,agent,"In the next scene, there is a baby, a grandma and some juice.",http://tedlab.mit.edu/~mekline/SDPictures/DRINK-agent-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/DRINK-agent-action.jpg,Grandma,Drinks,none,8.658,grandma,drink
1.35E+12,cc288322ae43,2,2,EAT,The monkey eats the orange.,patient,"In the next scene, there is a banana, a monkey and an orange.",http://tedlab.mit.edu/~mekline/SDPictures/EAT-patient-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/EAT-patient-action.jpg,Orange,Eaten,none,8.283,orange,eat
1.35E+12,cc288322ae43,0,3,FEED,The girl feeds the dog.,patient,"In the next scene, there is a kitten, a girl and a dog.",http://tedlab.mit.edu/~mekline/SDPictures/FEED-patient-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/FEED-patient-action.jpg,Setting,Bowl,none,15.99,setting,bowl
1.35E+12,cc288322ae43,4,4,READ,The boy reads the book.,agent,"In the next scene, there is a girl, a boy and a book.",http://tedlab.mit.edu/~mekline/SDPictures/READ-agent-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/READ-agent-action.jpg,Boy,Book,none,20.748,boy,book
1.35E+12,cc288322ae43,1,5,ROLL,The baby rolls the ball.,agent,"In the next scene, there is a grandma, a baby and a ball.",http://tedlab.mit.edu/~mekline/SDPictures/ROLL-agent-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/ROLL-agent-action.jpg,Baby,Throws,none,5.912,baby,throw
1.35E+12,cc288322ae43,3,6,WASH,The duck washes the bowl.,patient,"In the next scene, there is a spoon, a duck and a bowl.",http://tedlab.mit.edu/~mekline/SDPictures/WASH-patient-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/WASH-patient-action.jpg,Bowl,Suds,none,23.635,bowl,suds
1.35E+12,d11deb00d6g4,5,1,DRINK,The grandma drinks juice.,patient,"In the next scene, there is some milk, a grandma and some juice.",http://tedlab.mit.edu/~mekline/SDPictures/DRINK-patient-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/DRINK-patient-action.jpg,grandma,juice,none,5.629,grandma,juice
1.35E+12,d11deb00d6g4,0,2,EAT,The monkey eats the orange.,patient,"In the next scene, there is a banana, a monkey and an orange.",http://tedlab.mit.edu/~mekline/SDPictures/EAT-patient-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/EAT-patient-action.jpg,ate,orange,none,8.055,eat,orange
1.35E+12,d11deb00d6g4,3,3,FEED,The girl feeds the dog.,agent,"In the next scene, there is a boy, a girl and a dog.",http://tedlab.mit.edu/~mekline/SDPictures/FEED-agent-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/FEED-agent-action.jpg,girl,fed,none,6.117,girl,feed
1.35E+12,d11deb00d6g4,4,4,READ,The boy reads the book.,agent,"In the next scene, there is a girl, a boy and a book.",http://tedlab.mit.edu/~mekline/SDPictures/READ-agent-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/READ-agent-action.jpg,boy,read,none,4.875,boy,read
1.35E+12,d11deb00d6g4,2,5,ROLL,The baby rolls the ball.,agent,"In the next scene, there is a grandma, a baby and a ball.",http://tedlab.mit.edu/~mekline/SDPictures/ROLL-agent-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/ROLL-agent-action.jpg,baby,played,none,8.313,baby,play
1.35E+12,d11deb00d6g4,1,6,WASH,The duck washes the bowl.,patient,"In the next scene, there is a spoon, a duck and a bowl.",http://tedlab.mit.edu/~mekline/SDPictures/WASH-patient-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/WASH-patient-action.jpg,filled,bowl,none,14.18,fill,bowl
1.35E+12,d37dee8043h36,2,1,DRINK,The grandma drinks juice.,patient,"In the next scene, there is some milk, a grandma and some juice.",http://tedlab.mit.edu/~mekline/SDPictures/DRINK-patient-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/DRINK-patient-action.jpg,grandma,drinks,none,15.035,grandma,drink
1.35E+12,d37dee8043h36,0,2,EAT,The monkey eats the orange.,patient,"In the next scene, there is a banana, a monkey and an orange.",http://tedlab.mit.edu/~mekline/SDPictures/EAT-patient-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/EAT-patient-action.jpg,monkey,eat,none,15.696,monkey,eat
1.35E+12,d37dee8043h36,3,3,FEED,The girl feeds the dog.,agent,"In the next scene, there is a boy, a girl and a dog.",http://tedlab.mit.edu/~mekline/SDPictures/FEED-agent-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/FEED-agent-action.jpg,dog,eats,none,10.095,dog,eat
1.35E+12,d37dee8043h36,4,4,READ,The boy reads the book.,agent,"In the next scene, there is a girl, a boy and a book.",http://tedlab.mit.edu/~mekline/SDPictures/READ-agent-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/READ-agent-action.jpg,boy,reads,none,11.092,boy,read
1.35E+12,d37dee8043h36,5,5,ROLL,The baby rolls the ball.,patient,"In the next scene, there is a tire, a baby and a ball.",http://tedlab.mit.edu/~mekline/SDPictures/ROLL-patient-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/ROLL-patient-action.jpg,baby,plays,none,10.457,baby,play
1.35E+12,d37dee8043h36,1,6,WASH,The duck washes the bowl.,agent,"In the next scene, there is a monkey, a duck and a bowl.",http://tedlab.mit.edu/~mekline/SDPictures/WASH-agent-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/WASH-agent-action.jpg,duck,dishes,none,13.287,duck,dishes
1.35E+12,dba4d500h8,4,1,DRINK,The grandma drinks juice.,agent,"In the next scene, there is a baby, a grandma and some juice.",http://tedlab.mit.edu/~mekline/SDPictures/DRINK-agent-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/DRINK-agent-action.jpg,grandma,drank,none,10.28,grandma,drink
1.35E+12,dba4d500h8,5,2,EAT,The monkey eats the orange.,patient,"In the next scene, there is a banana, a monkey and an orange.",http://tedlab.mit.edu/~mekline/SDPictures/EAT-patient-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/EAT-patient-action.jpg,orange,eaten,none,9.704,orange,eat
1.35E+12,dba4d500h8,0,3,FEED,The girl feeds the dog.,patient,"In the next scene, there is a kitten, a girl and a dog.",http://tedlab.mit.edu/~mekline/SDPictures/FEED-patient-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/FEED-patient-action.jpg,feeds,dog,none,17.938,feed,dog
1.35E+12,dba4d500h8,2,4,READ,The boy reads the book.,patient,"In the next scene, there is a newspaper, a boy and a book.",http://tedlab.mit.edu/~mekline/SDPictures/READ-patient-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/READ-patient-action.jpg,boy,reads,none,9.395,boy,read
1.35E+12,dba4d500h8,1,5,ROLL,The baby rolls the ball.,agent,"In the next scene, there is a grandma, a baby and a ball.",http://tedlab.mit.edu/~mekline/SDPictures/ROLL-agent-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/ROLL-agent-action.jpg,ball,rolls,none,8.141,ball,roll
1.35E+12,dba4d500h8,3,6,WASH,The duck washes the bowl.,agent,"In the next scene, there is a monkey, a duck and a bowl.",http://tedlab.mit.edu/~mekline/SDPictures/WASH-agent-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/WASH-agent-action.jpg,duck,washes,none,11.878,duck,wash
