Experimenter,Design,Experiment,Condition,Correct,Subject #,Gender,Video Name,Days.Old,Age.Years,Age.Months,Condition,Trial A Verb,Trial A Condition,Trial A First Puppet,Trial A First Side (self!),Trial A First Sentence,Trial A Second Puppet,Trial A Second Side (self!),Trial A Second Sentence,Kid Response A (Striped/Dots),Kid Response A - Prag Choice?,Trial B Verb,Trial B Condition,Trial B First Puppet,Trial B First Side (self!),Trial B First Sentence,Trial B Second Puppet,Trial B Second Side (self!),Trial B Second Sentence,Kid Response B (Striped/Dots),Kid Response B - Prag Choice?,Trial C Verb,Trial C Condition,Trial C First Puppet,Trial C First Side (self!),Trial C First Sentence,Trial C Second Puppet,Trial C Second Side (self!),Trial C Second Sentence,Kid Response C (Striped/Dots),Kid Response C - Prag Choice?,Trial D Verb,Trial D Condition,Trial D First Puppet,Trial D First Side (self!),Trial D First Sentence,Trial D Second Puppet,Trial D Second Side (self!),Trial D Second Sentence,Kid Response D (Striped/Dots),Kid Response D - Prag Choice?,Notes,Feedback on trial 1? (Immediately after point),Include subject - ORIG,ReasonORIG,,CheckParadigm - NameItems,CheckParadigm - PuppetsLook,Notes,Muppet intro?,Final.Include,Final.Reason
Jenny,Between-2trials,ParentSecret,OD,0,16,M,subject_drop_041814_01.mpg,2533,6,11,OD,Eat,OD,dots,right,monkey eat,stripes,left,eat orange,stripes,eat orange,Pet,OD,red shirt,left,girl pet,yellow shirt,right,pet dog,yellow shirt,pet dog,,,,,,,,,,,,,,,,,,,,,sister sat in with subject but didn't offer help,Eat orange? Okay.,1,,,1x,yes,minimal muppet showing on trial 1,y,1,
Jenny,Between-2trials,ParentSecret,OD,2,18,F,subject_drop_041814_03.mpg,1982,5,5,OD,Eat,OD,dots,right,monkey eat,stripes,left,eat orange,dots,monkey eat,Pet,OD,red shirt,left,girl pet,yellow shirt,right,pet dog,red shirt,girl pet,,,,,,,,,,,,,,,,,,,,,,Ok. You remember what he said? ,1,,,1x,yes,uh oh!,y,1,
Jenny,Between-2trials,ParentSecret,OD,2,19,M,subject_drop_041814_04.mpg,2528,6,11,OD,Eat,OD,yellow shirt,right,monkey eat,red shirt,left,eat orange,yellow shirt,monkey eat,Pet,OD,stripes,left,girl pet,dots,right,pet dog,dots,pet dog,,,,,,,,,,,,,,,,,,,,,,Cool. Good job.,1,,,1x,yes,,y,1,
Jenny,Between-2trials,ParentSecret,OD,1,20,,subject_drop_041814_05.mpg,2552,6,11,OD,Eat,OD,dots,right,monkey eat,stripes,left,eat orange,dots,monkey eat,Pet,OD,red shirt,left,girl pet,yellow shirt,right,pet dog,yellow shirt,pet dog,,,,,,,,,,,,,,,,,,,,,,"yeah, awesome!",0,ExpError,,,,,,0,ExpErrorJ
Jenny,Between-2trials,ParentSecret,OD,2,21,M,subject_drop_041814_06.mpg,1912,5,2,OD,Eat,OD,yellow shirt,right,monkey eat,red shirt,left,eat orange,yellow shirt,monkey eat,Pet,OD,stripes,left,girl pet,dots,right,pet dog,stripes,girl pet,,,,,,,,,,,,,,,,,,,,,,you remember what he said?,1,,,1x,yes,,y,1,
Jenny,Between-2trials,ParentSecret,OD,0,22,F,subject_drop_041814_07.mpg,1458,3,11,OD,Eat,OD,red shirt,right,monkey eat,yellow shirt,left,eat orange,yellow shirt,eat orange,Pet,OD,stripes,left,girl pet,dots,right,pet dog,dots,pet dog,,,,,,,,,,,,,,,,,,,,,,This one? Eat orange? Ok.,1,,,1x,yes,"minimal showing on t1, almost forgot. Uhoh on t2",n,0,ExpErrorJ
Jenny,Between-2trials,ParentSecret,OD,1,23,M,subject_drop_041814_08.mpg,2150,5,10,OD,Eat,OD,dots,right,monkey eat,stripes,left,eat orange,stripes,eat orange,Pet,OD,red shirt,left,girl pet,yellow shirt,right,pet dog,red shirt,girl pet,,,,,,,,,,,,,,,,,,,,,,This one? You remember what he said?,1,,,1x,yes,,n,0,ExpErrorJ
Jenny,Between-2trials,ParentSecret,OD,2,24,,subject_drop_041814_09.mpg,2294,6,3,OD,Eat,OD,yellow shirt,right,monkey eat,yellow shirt,left,eat orange,red shirt,monkey eat,Pet,OD,stripes,left,girl pet,dots,right,pet dog,stripes,girl pet,,,,,,,,,,,,,,,,,,,,,,Cool. That's right.,0,ExpError,,,,,,0,ExpErrorJ
Jenny,Between-2trials,ParentSecret,OD,2,25,F,subject_drop_041814_10.mpg,2374,6,6,OD,Eat,OD,dots,right,monkey eat,stripes,left,eat orange,dots,monkey eat,Pet,OD,red shirt,left,girl pet,yellow shirt,right,pet dog,yellow shirt,girl pet,,,,,,,,,,,,,,,,,,,,,,Cool. Great.,1,,,1x,no,neither trials puppets looked!,n,0,ExpErrorJ
Jenny,Between-2trials,ParentSecret,OD,0,26,,subject_drop_041814_11.mpg,1224,3,4,OD,Eat,OD,red shirt,right,monkey eat,yellow shirt,left,eat orange,yellow shirt,eat orange,Pet,OD,stripes,left,girl pet,dots,right,pet dog,dots,pet dog,,,,,,,,,,,,,,,,,,,,,mom interfered a lot,Eat orange? Good job!,0,ParentInterfere,,,,,,0,PARENT INTERFERENCE
Jenny,Between-2trials,ParentSecret,OD,2,27,,subject_drop_041814_02.mpg,2429,6,7,OD,Eat,OD,yellow shirt,right,monkey eat,red shirt,left,eat orange,yellow shirt,monkey eat,Pet,OD,stripes,left,girl pet,dots,right,pet dog,stripes,girl pet,,,,,,,,,,,,,,,,,,,,,,Cool. That's right.,0,ExpError,,,,,,0,ExpErrorJ
Jenny,Between-2trials,ParentSecret,SD,1,27,F,subject_drop_042514_01.mpg,2199,6,0,SD,Eat,SD,dots,right,monkey eat,stripes,left,eat orange,dots,monkey eat,Pet,SD,dots,right,girl pet,stripes,left,pet dog,stripes,pet dog,,,,,,,,,,,,,,,,,,,,,the order muppets in trial B is reversed,Cool. Good job.,1,,,1x,no,,y,0,ExpErrorJ
Jenny,Between-2trials,ParentSecret,SD,2,28,,subject_drop_042514_02.mpg,2122,5,9,SD,Eat,SD,dots,right,monkey eat,stripes,left,eat orange,stripes,eat orange,Pet,SD,stripes,left,girl pet,dots,right,pet dog,dots,pet dog,,,,,,,,,,,,,,,,,,,,,**deciding question,Do you remember what she said?,0,ExpError-Decide,,,,,,0,ExpErrorJ
Jenny,Between-2trials,ParentSecret,SD,2,29,,subject_drop_042514_03.mpg,2028,5,6,SD,Eat,SD,dots,right,monkey eat,stripes,left,eat orange,stripes,eat orange,Pet,SD,dots,left,girl pet,stripes,right,pet dog,stripes,pet dog,,,,,,,,,,,,,,,,,,,,,**deciding question (petting story) and the order of muppets in trial B is reversed ,That's right!,0,ExpError-Decide,,,,,,0,ExpErrorJ
Jenny,Between-2trials,ParentSecret,SD,1,30,,subject_drop_042514_04.mpg,1828,5,0,SD,Eat,SD,dots,right,monkey eat,stripes,left,eat orange,dots,monkey eat,Pet,SD,stripes,left,girl pet,dots,right,pet dog,dots,pet dog,,,,,,,,,,,,,,,,,,,,,**deciding question (eating story),This one? Monkey eat? Cool.,0,ExpError-Decide,,,,,,0,ExpErrorJ
Jenny,Between-2trials,ParentSecret,SD,2,31,,subject_drop_042514_05.mpg,2139,5,10,SD,Eat,SD,dots,right,monkey eat,stripes,left,eat orange,stripes,eat orange,Pet,SD,stripes,left,girl pet,dots,right,pet dog,dots,pet dog,,,,,,,,,,,,,,,,,,,,,**deciding question (both stories),Do you remember what he said?,0,ExpError-Decide,,,,,,0,ExpErrorJ
Jenny,Between-2trials,ParentSecret,SD,2,32,,subject_drop_042614_01.mpg,1735,4,9,SD,Eat,SD,dots,right,monkey eat,stripes,left,eat orange,stripes,eat orange,Pet,SD,stripes,left,girl pet,dots,right,pet dog,dots,pet dog,,,,,,,,,,,,,,,,,,,,,**deciding question,Great! That's right.,0,ExpError-Decide,,,,,,0,ExpErrorJ
Jenny,Between-2trials,ParentSecret,SD,2,33,,subject_drop_042614_02.mpg,2309,6,3,SD,Eat,SD,stripes,right,monkey eat,dots,left,eat orange,dots,eat orange,Pet,SD,stripes,left,girl pet,dots,right,pet dog,dots,pet dog,,,,,,,,,,,,,,,,,,,,,**deciding question (both stories),That one? Perfect!,0,ExpError-Decide,,,,,,0,ExpErrorJ
Jenny,Between-2trials,ParentSecret,SD,2,34,,subject_drop_042614_03.mpg,2421,6,7,SD,Eat,SD,dots,right,monkey eat,stripes,left,eat orange,stripes,eat orange,Pet,SD,stripes,left,girl pet,dots,right,pet dog,dots,pet dog,,,,,,,,,,,,,,,,,,,,,**deciding question (both stories),Perfect.,0,ExpError-Decide,,,,,,0,ExpErrorJ
Jenny,Between-2trials,ParentSecret,SD,1,35,,subject_drop_042614_04.mpg,1458,3,11,SD,Eat,SD,stripes,right,monkey eat,dots,left,eat orange,stripes,monkey eat,Pet,SD,stripes,left,girl pet,dots,right,pet dog,dots,pet dog,,,,,,,,,,,,,,,,,,,,,**deciding question (both stories),You think this one? Monkey eat? Ok.,0,ExpError-Decide,,,,,,0,ExpErrorJ
Jenny,Between-2trials,ParentSecret,SD,1,36,,subject_drop_042614_05.mpg,2417,6,7,SD,Eat,SD,dots,right,monkey eat,stripes,left,eat orange,dots,monkey eat,Pet,SD,stripes,left,girl pet,dots,right,pet dog,dots,pet dog,,,,,,,,,,,,,,,,,,,,,**deciding question (both stories),This one? Monkey eat? Cool.,0,ExpError-Decide,,,,,,0,ExpErrorJ
Jenny,Between-2trials,ParentSecret,SD,2,37,F,subject_drop_042614_06.mpg,1837,5,0,SD,Eat,SD,dots,right,monkey eat,stripes,left,eat orange,stripes,eat orange,Pet,SD,stripes,left,girl pet,dots,right,pet dog,dots,pet dog,,,,,,,,,,,,,,,,,,,,,,Perfect!,0,ExpError-Decide,,,,,,0,ExpErrorJ
Jenny,Between-2trials,ParentSecret,SD,2,38,F,subject_drop_042614_07.mpg,2100,5,9,SD,Eat,SD,dots,right,monkey eat,stripes,left,eat orange,stripes,eat orange,Pet,SD,stripes,left,girl pet,dots,right,pet dog,dots,pet dog,,,,,,,,,,,,,,,,,,,,,,"Cool, great job!",1,,,1x,yes,"Said 'one will do well', but not shortened speech",n,0,ExpErrorJ
Jenny,Between-2trials,ParentSecret,SD,1,39,F,subject_drop_060414_01.mpg,1673,4,7,SD,Eat,SD,dots,right,monkey eat,stripes,left,eat orange,dots,monkey eat,Pet,SD,dots,left,girl pet,stripes, right,pet dog,stripes ,pet dog,,,,,,,,,,,,,,,,,,,,,the location of muppets reversed for trial B,This one? Monkey eat? Great.,1,,,1x,"yes, no",only looked on 1st trial,y,0,ExpErrorJ
Jenny,Between-2trials,ParentSecret,OD,1,40,M,subject_drop_060414_02.mpg,2436,6,8,OD,Eat,OD,dots,right,monkey eat,stripes,left,eat orange,dots,monkey eat,Pet,OD,dots,left,girl pet,stripes,right,pet dog,stripes,pet dog,,,,,,,,,,,,,,,,,,,,,the location of muppets reversed for trial B,Cool.,1,,,1x,no,"Said 'one will do well', but not shortened speech",n,0,ExpErrorJ
Jenny,Between-2trials,ParentSecret,OD,1,41,F,subject_drop_061014_01.mpg,2473,6,9,OD,Eat,OD,dots,right,monkey eat,stripes,left,eat orange,dots,monkey eat,Pet,OD,stripes,left,girl pet,dots,right,pet dog,dots,pet dog,,,,,,,,,,,,,,,,,,,,,,This one? Great.,1,,,"2x, 1x",no,once before once after,y,0,ExpErrorJ
Jenny,Between-2trials,ParentSecret,SD,1,42,M,subject_drop_061014_02.mpg,1903,5,2,SD,Eat,SD,dots,right,monkey eat,stripes,left,eat orange,dots,monkey eat,Pet,SD,stripes,left,girl pet,dots,right,pet dog,dots,pet dog,,,,,,,,,,,,,,,,,,,,,,Awesome.,1,,,1x,no,uh oh!,y,0,ExpErrorJ
Jenny,Between-2trials,ParentSecret,OD,1,43,F,subject_drop_061014_03.mpg,1962,5,4,OD,Eat,OD,dots,right,monkey eat,stripes,left,eat orange,stripes,eat orange,Pet,OD,stripes,left,girl pet,dots,right,pet dog,stripes,girl pet,,,,,,,,,,,,,,,,,,,,,,Eat orange? Great.,1,,,1x,no,,y,0,ExpErrorJ
Jenny,Between-2trials,ParentSecret,SD,,44,M,subject_drop_061014_04.mpg,1963,5,4,SD,Eat,SD,dots,right,monkey eat,stripes,left,eat orange,stripes,eat orange,Pet,SD,stripes,left,girl pet,dots,right,pet dog,dots,pet dog,,,,,,,,,,,,,,,,,,,,,,Great!,1,,,1x,no,,y,0,ExpErrorJ
Jenny,Between-2trials,ParentSecret,OD,1,45,M,subject_drop_061114_01.mpg,2210,6,0,OD,Eat,OD,dots,right,monkey eat,stripes,left,eat orange,stripes,eat orange,Pet,OD,stripes,left,girl pet,dots,right,pet dog,stripes,girl pet,,,,,,,,,,,,,,,,,,,,,,Awesome!,1,,,1x,no,,y,0,ExpErrorJ
Jenny,Between-2trials,ParentSecret,SD,1,46,M,subject_drop_061314_01.mpg,1520,4,1,SD,Eat,SD,dots,right,monkey eat,stripes,left,eat orange,dots,monkey eat,Pet,SD,stripes,left,girl pet,dots,right,pet dog,dots,pet dog,,,,,,,,,,,,,,,,,,,,,,Great!,1,,,1x,no,fast! Uh oh,y,0,ExpErrorJ
Jenny,Between-2trials,ParentSecret,OD,1,47,F,subject_drop_061314_02.mpg,2261,6,2,OD,Eat,OD,dots,right,monkey eat,stripes,left,eat orange,stripes,eat orange,Pet,OD,stripes,left,girl pet,dots,right,pet dog,stripes,girl pet,,,,,,,,,,,,,,,,,,,,,,This one? Great. Good job.,1,,,2x,no,fast! Told item set once before once after,y,0,ExpErrorJ
Jenny,Between-2trials,ParentSecret,OD,1,48,F,subject_drop_061314_03.mpg,1606,4,4,OD,Eat,OD,dots,right,monkey eat,stripes,left,eat orange,stripes,eat orange,Pet,OD,stripes,left,girl pet,dots,right,pet dog,stripes,girl pet,,,,,,,,,,,,,,,,,,,,,muppets out of the frame. Subject's response for trial A unclear.,good job!,1,,,"2x, 1x",no,fast!,y,0,ExpErrorJ
Jenny,Between-2trials,ParentSecret,SD,1,49,F,subject_drop_061314_04.mpg,1514,4,1,SD,Eat,SD,dots,right,monkey eat,stripes,left,eat orange,stripes,eat orange,Pet,SD,stripes,left,girl pet,dots,right,pet dog,stripes,girl pet,,,,,,,,,,,,,,,,,,,,,,This one? Great!,1,,,1x,no,fast,y,0,ExpErrorJ
Jenny,Between-2trials,ParentSecret,SD,0,50,F,subject_drop_061614_01.mpg,1879,5,1,SD,Eat,SD,dots,right,monkey eat,stripes,left,eat orange,dots,monkey eat,Pet,SD,stripes,left,girl pet,dots,right,pet dog,stripes,girl pet,,,,,,,,,,,,,,,,,,,,,,That one? Great!,1,,,1x,no,better speed,y,0,ExpErrorJ
Jenny,Between-2trials,ParentSecret,OD,,51,F,NA,1372,3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,no video,,0,ExpError,,,,,,0,ExpErrorJ
Jenny,Between-2trials,ParentSecret,SD,0,52,F,subject_drop_061614_02.mpg,919,2,6,SD,Eat,SD,dots,right,monkey eat,stripes,left,eat orange,dots,monkey eat,Pet,SD,stripes,left,girl pet,dots,right,pet dog,stripes,girl pet,,,,,,,,,,,,,,,,,,,,,TOO YOUNG,,0,TooYoung,,,,,,0,WRONG AGE
Jenny,Between-2trials,ParentSecret,OD,1,53,M,subject_drop_070214_01.mpg,1097,3,0,OD,Eat,OD,dots,right,monkey eat,stripes,left,eat orange,dots,monkey eat,Pet,OD,stripes,left,girl pet,dots,right,pet dog,dots,pet dog,,,,,,,,,,,,,,,,,,,,,Didn't understand the task. Mom interjected a lot. Didn't provide a clear choice for trial A.,Ok. Thank you.,1,,,2x,no,better speed,y,0,ExpErrorJ
Jenny,Between-2trials,ParentSecret,SD,0,54,F,subject_drop_070214_02.mpg,1164,3,2,SD,Eat,SD,dots,right,monkey eat,stripes,left,eat orange,dots,monkey eat,Pet,SD,stripes,left,girl pet,dots,right,pet dog,stripes,girl pet,,,,,,,,,,,,,,,,,,,,,,Ok.,1,,,1x,no,no 'mystery' for last several kids,y,0,ExpErrorJ
Jenny,Between-2trials,ParentSecret,OD,2,55,F,subject_drop_070414_01.mpg,1364,3,8,OD,Eat,OD,dots,right,monkey eat,stripes,left,eat orange,dots,monkey eat,Pet,OD,stripes,left,girl pet,dots,right,pet dog,stripes,girl pet,,,,,,,,,,,,,,,,,,,,,,Ok!,1,,,1x,no,uh oh!,y,0,ExpErrorJ
Jenny,Between-2trials,ParentSecret,SD,2,56,M,subject_drop_070414_02.mpg,1168,3,2,SD,Eat,SD,dots,right,monkey eat,stripes,left,eat orange,stripes,eat orange,Pet,SD,stripes,left,girl pet,dots,right,pet dog,dots,pet dog,,,,,,,,,,,,,,,,,,,,,,Ok!,1,,,1x,no,uh oh.  Called out the secret ('a dog!') on 2nd trial before muppets talked,y,0,ExpErrorJ
Jenny,Between-2trials,ParentSecret,OD,2,57,F,subject_drop_070414_03.mpg,1892,5,2,OD,Eat,OD,dots,right,monkey eat,stripes,left,eat orange,dots,monkey eat,Pet,OD,stripes,left,girl pet,dots,right,pet dog,stripes,girl pet,,,,,,,,,,,,,,,,,,,,,,This one? Great.,1,,,1x,no,,y,0,ExpErrorJ
Jenny,Between-2trials,ParentSecret,SD,0,58,F,subject_drop_070414_04.mpg,1469,4,0,SD,Eat,SD,dots,right,monkey eat,stripes,left,eat orange,dots,monkey eat,Pet ,SD,stripes,left,girl pet,dots,right,pet dog,stripes,girl pet,,,,,,,,,,,,,,,,,,,,,,Ok!,1,,,1x,no,,y,0,ExpErrorJ
Jenny,Between-2trials,ParentSecret,OD,1,59,F,subject_drop_070414_05.mpg,1795,4,11,OD,Eat,OD,dots,right,monkey eat,stripes,left,eat orange,dots,monkey eat,Pet,OD,stripes,left,girl pet,dots,right,pet dog,dots,pet dog,,,,,,,,,,,,,,,,,,,,,,Ok!,1,,,1x,no,,y,0,ExpErrorJ
Jenny,Between-2trials,ParentSecret,SD,1,60,F,subject_drop_070414_06.mpg,1450,3,11,SD,Eat,SD,dots,right,monkey eat,stripes,left,eat orange,dots,monkey eat,Pet,SD,stripes,left,girl pet,dots,right,pet dog,dots,pet dog,,,,,,,,,,,,,,,,,,,,,Has some attentional issues.,Great.,0,ChildFussout,,,,,,0,FUSSOUT
Jenny,Between-2trials,ParentSecret,OD,1,61,F,subject_drop_070614_01.mpg,1730,4,8,OD,Eat,OD,dots,right,monkey eat,stripes,left,eat orange,stripes,eat orange,Pet,OD,stripes,left,girl pet,dots,right,pet dog,stripes,girl pet,,,,,,,,,,,,,,,,,,,,,,This one? Cool.,1,,,1x,no,"Said 'one will do well', but not shortened speech",y,0,ExpErrorJ
Jenny,Between-2trials,ParentSecret,SD,0,62,F,subject_drop_070614_02.mpg,1934,5,3,SD,Eat,SD,dots,right,monkey eat,stripes,left,eat orange,dots,monkey eat,Pet,SD,stripes,left,girl pet,dots,right,pet dog,stripes,girl pet,,,,,,,,,,,,,,,,,,,,,,That one? Ok.,1,,,1x,no,"Said 'one will do well', but not shortened speech",y,0,ExpErrorJ
Jenny,Between-2trials,ParentSecret,OD,0,63,M,subject_drop_070614_03.mpg,1934,5,3,OD,Eat,OD,dots,right,monkey eat,stripes,left,eat orange,stripes,eat orange,Pet ,OD,stripes,left,girl pet,dots,right,pet dog,dots,pet dog,,,,,,,,,,,,,,,,,,,,,,This one? Ok.,1,,,,no,,,0,ExpErrorJ
Jenny,Between-2trials,ParentSecret,SD,2,64,F,subject_drop_070814_01.mpg,1681,4,7,SD,Eat ,SD,dots,right,monkey eat,stripes,left,eat orange,stripes,eat orange,Pet,SD,stripes,left,girl pet,dots,right,pet dog,dots,pet dog,,,,,,,,,,,,,,,,,,,,,,Ok! Great!,1,,,,no,,,0,ExpErrorJ
Jenny,Between-2trials,ParentSecret,OD,1,65,M,subject_drop_070814_02.mpg,1540,4,2,OD,Eat ,OD,dots,right,monkey eat,stripes,left,eat orange,dots,monkey eat,Pet,OD,stripes,left,girl pet,dots,right,pet dog,dots,pet dog,,,,,,,,,,,,,,,,,,,,,,Ok!,1,,,,no,,,0,ExpErrorJ
Jenny,Between-2trials,ParentSecret,SD,0,66,F,subject_drop_070814_03.mpg,2055,5,7,SD,Eat ,SD,dots,right,monkey eat,stripes,left,eat orange,stripes,monkey eat,Pet,SD,stripes,left,girl pet,dots,right,pet dog,stripes,girl pet,,,,,,,,,,,,,,,,,,,,,,Ok. Good job.,1,,,,no,,,0,ExpErrorJ
Jenny,Between-2trials,ParentSecret,OD,1,67,M,subject_drop_071114_01.mpg,1939,5,3,OD ,Eat,OD ,dots,right,monkey eat,stripes,left ,eat orange,stripes,eat orange,Pet,OD ,stripes,left,girl pet,dots,right,pet dog,stripes,girl pet,,,,,,,,,,,,,,,,,,,,,,Ok.,1,,,,no,,,0,ExpErrorJ
